price,square,ngang,huong,duong,district
3.75,85,---,_,5.5,thanhkhe
3.25,78,6,E,5.5,thanhkhe
1.45,52,7,W,2.5,thanhkhe
1.79,52,5.5,WS,4,thanhkhe
5.76,90,10,WN,19,thanhkhe
7.2,180,10,_,5,thanhkhe
14.49,230,10,WS,36,thanhkhe
9,240,10,_,34,thanhkhe
1.8,52,5.9,WS,3,thanhkhe
12,125,5,N,45,thanhkhe
2.15,60,---,_,3,thanhkhe
2.75,100,---,_,4,thanhkhe
3.52,90,5,EN,5.5,thanhkhe
7.61,117,5,WS,60,thanhkhe
3.9,85,5,WN,7.5,thanhkhe
4.25,85,5,WS,7.5,thanhkhe
3.5,90,5,_,5.5,thanhkhe
2.15,60,4.5,WN,4,thanhkhe
20,250,10,N,45,thanhkhe
1.75,51,---,_,5,thanhkhe
2.1,40,---,_,2.5,thanhkhe
3.7,111,---,WN,3,thanhkhe
2.75,70,5,WN,5.5,thanhkhe
5.7,94,5,EN,10,thanhkhe
3.35,150,6.6,WN,3.5,thanhkhe
3.85,88,7.2,E,5.5,thanhkhe
3.4,85,5,WN,5.5,thanhkhe
7.2,180,---,_,5.5,thanhkhe
7,117,5,EN,43,thanhkhe
4.35,79,5,W,5.5,thanhkhe
7.2,180,10,_,5,thanhkhe
3.25,86,4,ES,5,thanhkhe
37,81,---,_,7.5,thanhkhe
1.75,51,5.5,S,4,thanhkhe
4.05,73,5,S,5.5,thanhkhe
8.3,100,5,EN,10,thanhkhe
7.2,180,10,WS,43,thanhkhe
1.87,51,3.7,WN,2.5,thanhkhe
2.3,73,7.6,E,2.5,thanhkhe
6,90,4.5,N,7.5,haichau
11.5,114,6,S,7.5,haichau
4.5,67,4.5,S,7.5,haichau
5.95,90,5,ES,7.5,haichau
6.5,100,5,_,7.5,haichau
16.5,272,11,WS,5.5,haichau
15,135,5,S,33,haichau
3.8,162,5,W,2.5,haichau
36.27,310,---,_,25,haichau
12,63,5,EN,75,haichau
6.8,180,10,EN,5.5,haichau
7.4,78,---,_,6,haichau
10,95,5,E,10,haichau
5.95,107,---,_,8,haichau
6.7,95,5,N,7.5,haichau
19.5,187,7.5,S,15,haichau
60,409,9.3,N,10,haichau
11.5,114,6,S,7.5,haichau
40.5,225,10,S,33,haichau
11.5,114,6,S,7.5,haichau
35,350,10,_,33,haichau
7.6,92,---,_,7,haichau
4.42,85,---,_,13,haichau
12.5,140,---,_,7,haichau
5.5,95,---,_,7,haichau
3.7,55,4.5,EN,7.5,haichau
19,152,9,S,10,haichau
5.2,75,4.5,S,5.5,haichau
9.1,150,7.5,ES,10,haichau
3.65,58,4,N,5.5,haichau
7.8,105,5,WS,7.5,haichau
20,150,7.5,_,33,haichau
5.7,87,5,ES,5.5,haichau
26,218,5,S,33,haichau
10.5,87,4.5,WS,10,haichau
4.25,70,4,WN,5.5,haichau
3.8,70,4,S,4.5,haichau
4,85,---,_,13,haichau
21.5,90,---,_,20,haichau
10.7,140,7,E,7.5,haichau
10.5,87,---,_,10,haichau
2.45,60,5,WS,2.5,haichau
16.5,273,---,_,5.5,haichau
18.5,225,6,_,25,haichau
5.2,95,---,_,7,haichau
13,366,10,ES,4,haichau
19,152,9,S,10,haichau
14,118,4.5,S,20,haichau
6.5,83,5,E,5.5,haichau
34,114,6.7,E,33,haichau
16.5,272,11,WS,5,haichau
1.65,55,---,_,3,haichau
14.5,125,5,W,33,haichau
60,450,12,ES,15,haichau
7.5,90,4.5,_,7.5,haichau
6.5,100,5,N,7.5,haichau
14.5,130,---,_,11,haichau
6.8,79,6,S,7.5,haichau
19,152,---,_,11,haichau
6.25,90,---,_,7.5,haichau
3,56,---,_,6,haichau
3.75,58,4,N,5.5,haichau
12,105,6,W,10,haichau
15.5,144,5,S,33,haichau
3.8,58,4,N,5.5,haichau
16.2,171,5.5,E,15,haichau
34,114,6.7,E,33,haichau
4.5,75,5,W,5.5,haichau
11.8,119,5,S,15,haichau
24,160,8,_,15,haichau
2.65,77,4,E,3.5,haichau
36.27,310,5,E,5,haichau
6.25,90,---,_,7.5,haichau
4.8,70,5,_,5.5,haichau
16,113,4.5,E,33,haichau
16.5,272,11,_,5.5,haichau
27,250,---,_,25,haichau
38.7,128,8,_,33,haichau
7.5,90,4.5,_,7.5,haichau
5.3,100,5,_,7.5,haichau
7.1,150,10,WN,5,haichau
42,180,9,E,33,haichau
19,125,5,E,30,haichau
1.6,90,5,N,3.5,haichau
16.5,272,---,_,55,haichau
57,375,15,E,43,haichau
7.2,78,---,_,7.5,haichau
3.1,61,4,N,2.5,haichau
19,152,---,_,15,haichau
16.5,273,11,_,5.5,haichau
39.3,393,12,_,10,haichau
16.5,273,11,S,7.5,haichau
7.4,75,---,_,7,haichau
28.12,152,8,N,5.5,haichau
4,70,4,_,5.5,haichau
19,152,9,_,10,haichau
16.5,150,5,_,33,haichau
60,375,15,E,15,haichau
9.5,150,7.5,ES,10,haichau
2.05,60,---,_,3,haichau
3.9,75,5,WN,5.5,haichau
26,218,7,S,33,haichau
2.9,65,4.5,WS,3.5,haichau
30.7,139,10,WN,7.5,haichau
3.7,58,---,_,5,haichau
38.9,195,8.5,S,33,haichau
5.8,99,8,WN,5,haichau
32,229,12,WN,15,haichau
7,79,---,_,6,haichau
82,410,15,ES,7.5,haichau
34.2,114,---,_,36,haichau
19,152,9,S,15,haichau
11,119,5,S,15,haichau
20,152,9,S,15,haichau
10.8,101,5,W,10,haichau
10.5,87,4.5,WS,10,haichau
25,234,8.65,S,33,haichau
15,143,5,S,33,haichau
4.15,70,4,WN,5.5,haichau
2.45,86,5,W,3,haichau
20,125,5,E,33,haichau
11.5,114,6,S,7.5,haichau
12.5,105,6,WS,10,haichau
7.5,90,5,_,7.5,haichau
5.8,90,---,_,7.5,haichau
3.05,56,4.5,W,3.5,haichau
3.75,58,4,WN,5,haichau
5.4,85,---,_,26,haichau
21,250,10,EN,42,haichau
4.4,85,---,_,13,haichau
14.5,125,5,W,20,haichau
11.44,104,5,_,10,haichau
9.5,112,4.5,EN,15,haichau
3.1,62,4,_,2.5,haichau
32.5,114,7,_,33,haichau
4.8,70,5,S,5.5,haichau
7.5,134,---,_,8,haichau
45,375,15,WN,30,haichau
11.5,67,4.5,WN,15,haichau
81,225,9,N,30,haichau
6.7,82,5,W,5.5,haichau
7,287,---,_,2.5,haichau
19,152,9,S,10,haichau
2.8,65,---,N,3,haichau
7.6,95,---,_,5.5,haichau
14,90,6,ES,40,haichau
10.5,150,7.5,_,11,haichau
15.5,145,5,S,48,haichau
12.5,105,6,WS,10,haichau
21,90,4.5,E,30,haichau
10.5,68,4.5,WN,15,haichau
10,97,5,_,11,haichau
17,143,7.5,EN,10,haichau
32,225,10,_,33,haichau
10.4,150,7.5,ES,10,haichau
6.7,71,---,_,7.5,haichau
7.6,96,4.5,WN,5.5,haichau
2.2,52,6,_,4,haichau
75,472,22.5,S,33,haichau
10.4,150,7.5,ES,10,haichau
28,221,---,_,11,haichau
27.28,341,11,_,8,haichau
58.5,450,---,_,20,haichau
7.5,90,4.5,_,10,haichau
4,88,5.17,W,3,haichau
2.3,52,---,_,4,haichau
3.2,46,5,E,2.5,haichau
39.3,393,12,E,10,haichau
7.7,81,4.5,W,10,haichau
4.9,95,---,_,26,haichau
4.8,70,5,S,5.5,haichau
7.1,150,10,WN,5.5,haichau
4.1,162,---,_,3,haichau
10.5,87,4.5,WS,10,haichau
19,165,5.7,_,33,haichau
3.55,58,4.5,S,4,haichau
6.5,100,5,E,5,haichau
28.5,130,6,E,10,haichau
11.5,68,4.5,WN,33,haichau
13.4,180,8.1,S,5.5,haichau
11,68,4.5,WN,10,haichau
9,43,5.6,N,12,haichau
7.5,90,4.5,N,7.5,haichau
2.3,50,6.65,S,4,haichau
11.5,72,4.5,WN,30,haichau
4.35,70,4,_,5.5,haichau
16.2,145,4.5,_,30,haichau
15.5,143,5,S,33,haichau
5.3,100,5,_,7.5,haichau
5.4,88,5,W,5.5,haichau
28.5,130,---,_,11,haichau
11,119,5,S,15,haichau
5.7,87,---,_,5,haichau
8,98,4.8,N,5,haichau
2.8,65,4.5,N,3,haichau
11.7,180,5,E,5,haichau
3.8,75,5,WN,5.5,haichau
32.5,128,6.37,E,25,haichau
9.5,140,8,N,7.5,haichau
11.5,120,6,ES,10,haichau
15.5,144,5,S,33,haichau
36,250,10,W,30,haichau
7.1,150,10,WN,5,haichau
6,90,5,_,7.5,haichau
16.5,143,5,_,33,haichau
11,114,6,S,7.5,haichau
65,488,---,_,25,haichau
20,152,9,S,10,haichau
7.5,44,4.1,EN,33,haichau
2.3,52,6,_,4,haichau
11.2,68,4.5,WN,15,haichau
7.3,90,4.5,N,7.5,haichau
11,114,6,WS,7.5,haichau
14,125,5,_,30,haichau
5.2,95,5,E,5.5,haichau
32.5,114,6.7,_,33,haichau
26,280,6.12,E,10,haichau
15,135,5,S,30,haichau
5.3,100,5,_,6,haichau
5.95,107,6.3,WS,7.5,haichau
6.6,82,5,W,5.5,haichau
3.1,70,4.85,S,4,haichau
3.45,78,---,_,2.5,haichau
9.5,155,---,_,6,haichau
9.7,150,7.5,_,10,haichau
32,250,10,_,33,haichau
17,142,7.5,EN,10,haichau
2.7,55,5,S,3,haichau
52,350,10,EN,15,haichau
17,130,5,_,10,haichau
2.85,107,6,S,5.5,hoavang
1.4,193,7,ES,3.5,hoavang
0.45,130,---,_,5,hoavang
4.3,123,7,S,7.5,hoavang
0.735,222,7,ES,5,hoavang
0.42,110,5,W,5,hoavang
0.5,180,6,_,6,hoavang
0.65,121,5,E,5.5,hoavang
1.05,213,6,W,4,hoavang
3.6,131,6,N,7.5,hoavang
1.67,100,5,E,5.5,hoavang
0.58,164,6,E,15,hoavang
2.32,100,5,W,5.5,hoavang
0.65,120,5,E,5.5,hoavang
0.7,100,7.2,ES,2,hoavang
2.21,100,5,_,5.5,hoavang
0.49,170,6,_,12,hoavang
1.7,100,5,N,5.5,hoavang
0.49,180,6,_,12,hoavang
0.432,169,6,_,12,hoavang
0.49,110,6,_,4,hoavang
0.61,212,8,_,5.5,hoavang
0.43,100,---,_,7.5,hoavang
1.15,250,8.5,E,33,hoavang
1.35,100,5,S,5.5,hoavang
0.42,132,5,ES,5,hoavang
2.2,93,5,S,5.5,hoavang
0.42,170,6,W,14,hoavang
2.01,100,5,EN,5.5,hoavang
0.42,147,5,ES,5,hoavang
0.5,130,5,_,5.5,hoavang
0.617,164,6,W,12,hoavang
0.49,179,6,_,5,hoavang
0.42,120,5,W,7,hoavang
1.1,171,5,WS,3.5,hoavang
0.585,213,8,_,12,hoavang
0.43,170,6,E,12,hoavang
0.649,214,8,_,5.5,hoavang
0.615,164,6,_,12,hoavang
0.42,132,5,ES,5,hoavang
0.4,147,5,E,5,hoavang
0.52,170,6,E,12,hoavang
0.35,100,5,S,7,hoavang
1.7,300,10,WN,5,hoavang
0.62,120,5,_,3,hoavang
0.448,180,---,_,12,hoavang
0.3,95,5,W,4,hoavang
0.65,100,5,_,3,hoavang
2.3,353,---,_,7,hoavang
0.41,180,6,W,12,hoavang
3.3,108,6,S,7.5,hoavang
1.65,150,7.5,ES,5.5,hoavang
0.42,100,5,_,7,hoavang
0.77,300,6.25,S,3.5,hoavang
3,90,4.5,N,7.5,hoavang
0.51,145,6,_,4,hoavang
1.35,225,8.8,_,4,hoavang
1.25,123,5,N,5.5,hoavang
1.43,170,6,E,12,hoavang
2.4,316,16,_,2.5,hoavang
0.66,98,5,E,5.5,hoavang
1.95,100,5,S,5.5,hoavang
0.62,132,5,WS,4,hoavang
0.7,100,7,ES,2,hoavang
0.35,110,5,S,7,hoavang
0.65,256,5,EN,4,hoavang
0.9,340,12,E,12,hoavang
0.634,137,---,_,5,hoavang
0.499,170,6,_,6,hoavang
0.43,170,6,_,12,hoavang
0.428,170,---,_,20,hoavang
1.4,100,5,S,5,hoavang
0.76,180,6,_,33,hoavang
1.99,100,5,E,7.5,hoavang
0.8,132,4,E,10,hoavang
0.64,140,---,_,5,hoavang
9.5,136,---,_,15,hoavang
0.42,142,5,ES,5,hoavang
1.23,83,5,S,7,hoavang
0.3,115,5,W,7,hoavang
1.2,130,5,ES,48,hoavang
2.17,116,5,E,5.5,hoavang
1,170,6,E,12,hoavang
1.65,191,8,ES,5,hoavang
1.55,100,5,E,5.5,hoavang
1.48,180,6,E,12,hoavang
0.4,110,6,W,12,hoavang
1.85,112,7,E,6,hoavang
3.8,145,7,ES,5,hoavang
1.65,95,---,_,8,hoavang
1.1,171,5,WS,3.5,hoavang
0.445,166,6,_,12,hoavang
0.42,121,5,ES,5,hoavang
0.429,170,6,E,12,hoavang
0.76,180,6,_,32,hoavang
1.29,95,---,_,7.5,hoavang
1.4,124,---,_,5.5,hoavang
0.479,170,6,E,33,hoavang
0.49,170,6,_,12,hoavang
0.39,120,5,S,5,hoavang
0.42,120,5,_,5,hoavang
1,140,7,E,24,hoavang
0.87,120,6,WS,4,hoavang
2.3,353,---,_,10,hoavang
0.83,138,6,S,3.5,hoavang
2.05,100,5,S,5.5,hoavang
0.759,180,6,E,33,hoavang
0.76,180,6,_,33,hoavang
1.5,150,5,_,12,hoavang
0.6,261,5,EN,5,hoavang
0.435,133,5,_,5,hoavang
2.8,140,7,N,5.5,hoavang
0.86,340,12,W,12,hoavang
5.75,108,5,E,20,hoavang
1.95,100,5,N,5,hoavang
0.49,100,5,E,5,hoavang
1.8,300,10,E,5,hoavang
0.43,150,6,E,12,hoavang
0.433,170,6,_,12,hoavang
1.97,100,5,E,5,hoavang
1.1,333,5,E,7.5,hoavang
0.5,170,6,_,12,hoavang
0.43,170,6,_,12,hoavang
1.5,356,10,WN,3.5,hoavang
0.6,123,5.1,E,3,hoavang
0.45,340,6,_,12,hoavang
0.95,150,5.7,EN,6,hoavang
1.4,100,5,S,3.5,hoavang
1.35,210,7,S,10,hoavang
2.2,92,5,S,5.5,hoavang
0.85,120,---,WS,3,hoavang
0.6,100,5,_,7,hoavang
1.63,100,5,E,5.5,hoavang
2.25,118,5,E,5.5,hoavang
0.76,93,4,EN,2,hoavang
0.447,170,6,E,12,hoavang
0.55,120,5,_,5,hoavang
1.25,123,5,WN,5.5,hoavang
0.56,208,5.1,N,3.5,hoavang
0.6,100,5,ES,5,hoavang
0.8,100,5,_,17,hoavang
0.87,120,5,EN,3.5,hoavang
2.05,100,5,S,5.5,hoavang
0.448,170,6,_,6,hoavang
0.49,180,6,E,12,hoavang
0.489,180,6,E,5.5,hoavang
0.39,123,5,E,5,hoavang
1.95,100,5,N,5.5,hoavang
0.65,120,5,E,5.5,hoavang
0.439,139,5,_,5,hoavang
1,318,12,E,12,hoavang
0.53,80,---,_,4,hoavang
1.42,100,5,S,5,hoavang
2.3,450,8,WN,5.5,hoavang
2.35,100,5,W,5.5,hoavang
0.76,180,6,_,32,hoavang
1.1,100,4,EN,4,hoavang
1.06,271,14,WN,3.5,hoavang
0.499,170,6,_,12,hoavang
0.52,160,6,E,6,hoavang
1.12,145,12,EN,5,hoavang
0.55,120,5,ES,5,hoavang
0.48,100,5,_,3,hoavang
0.47,177,---,_,4,hoavang
0.585,212,8,_,5.5,hoavang
3,100,5,EN,30,hoavang
0.664,95,5,E,5,hoavang
0.43,180,6,_,33,hoavang
2.3,170,---,_,20,hoavang
0.4,170,6,_,6,hoavang
0.65,100,5,E,5.5,hoavang
0.72,75,3.9,WS,4,hoavang
2.8,127,6.5,WS,5,hoavang
5.2,116,8.4,_,7.5,lienchieu
2.15,86,5,W,5.5,lienchieu
1.4,90,8.33,E,8,lienchieu
3,100,---,_,5,lienchieu
2.15,90,5,_,5.5,lienchieu
1.55,101,5.5,ES,4.5,lienchieu
2.4,72,4.5,EN,5.5,lienchieu
2.35,70,5,WS,5.5,lienchieu
2.1,100,5,ES,7.5,lienchieu
4.1,90,---,_,8,lienchieu
0.483,168,6,E,12,lienchieu
2.05,83,4.76,EN,6,lienchieu
2.5,110,---,_,7.5,lienchieu
10,143,7,WS,30,lienchieu
2.1,100,6,E,5,lienchieu
4.95,90,4.5,ES,10,lienchieu
3.1,85,5,ES,5.5,lienchieu
3.89,125,5,E,7,lienchieu
2.6,72,5.2,_,7.5,lienchieu
2.45,120,4.7,_,6,lienchieu
19.5,250,10,N,30,lienchieu
1.75,80,5,EN,3,lienchieu
1.35,70,4,EN,3.5,lienchieu
3.75,110,5,E,7.5,lienchieu
2.15,74,4.5,WS,5.5,lienchieu
8.6,235,10,_,10,lienchieu
5.5,105,4.5,ES,10,lienchieu
3.2,112,4.5,WN,37,lienchieu
2.6,100,5,_,5.5,lienchieu
6.5,140,---,_,8,lienchieu
1.45,60,6.3,ES,3,lienchieu
1.8,71,5.45,ES,3.5,lienchieu
1.55,70,4.5,WN,4.5,lienchieu
3.4,85,4.5,N,7.5,lienchieu
2.6,73,5,ES,7.5,lienchieu
2.25,70,---,EN,5.5,lienchieu
13.6,168,---,_,30,lienchieu
1.4,83,8.53,WS,5,lienchieu
4.15,105,5,ES,7.5,lienchieu
3.5,112,4.5,N,30,lienchieu
1.55,28,4.2,ES,4,lienchieu
3.5,100,7.6,WS,5.5,lienchieu
2.35,100,---,WS,5.5,lienchieu
1.6,82,3.7,WN,2.5,lienchieu
1.6,70,---,WN,3.5,lienchieu
1.35,64,10,WS,4,lienchieu
2.2,67,4.5,ES,5.5,lienchieu
2.7,100,5,EN,5.5,lienchieu
1.95,68,6,EN,5,lienchieu
2.65,77,4.5,EN,5.5,lienchieu
5.2,170,11.1,ES,5.5,lienchieu
0.785,360,12,E,33,lienchieu
3.3,80,5,ES,5.5,lienchieu
1.35,65,6,WS,5,lienchieu
4.99,94,---,_,10,lienchieu
1.39,84,3,ES,3.5,lienchieu
4.35,146,7.5,_,7.5,lienchieu
3.8,115,5,_,7,lienchieu
4.6,148,---,_,15,lienchieu
2.95,76,4.5,_,30,lienchieu
3.7,100,5,EN,6,lienchieu
2.55,80,5,WS,5.5,lienchieu
1.45,70,---,EN,5,lienchieu
4.3,100,---,_,7.5,lienchieu
1.62,74,---,WN,5,lienchieu
5.2,133,---,_,15,lienchieu
1.44,60,10,ES,3,lienchieu
4,230,10,S,3.5,lienchieu
4.6,149,7.5,N,7.5,lienchieu
5.1,103,4.5,EN,10,lienchieu
3.65,100,5,EN,7.5,lienchieu
2.1,100,6,E,7,lienchieu
1.44,83,3,ES,6,lienchieu
1.8,71,---,_,2,lienchieu
1.85,125,5,E,5,lienchieu
2.8,105,5,EN,10,lienchieu
1.69,61,---,_,4,lienchieu
4.5,120,---,_,7,lienchieu
6.4,120,5,W,9,lienchieu
2.15,105,5,WS,7.5,lienchieu
2.5,110,---,_,7,lienchieu
3.4,75,5,ES,5.5,lienchieu
1.6,82,3.5,WN,2.5,lienchieu
12.3,216,10,WS,15,lienchieu
5.15,100,5,WN,10,lienchieu
4.95,90,4.5,ES,10,lienchieu
6.6,246,10,EN,45,lienchieu
1.4,83,8.52,WS,4,lienchieu
1.19,60,4,ES,3,lienchieu
2.45,105,---,_,8,lienchieu
9.2,210,10,ES,7.5,lienchieu
3,75,5,WN,5.5,lienchieu
2.45,110,5,WS,7.5,lienchieu
4.3,148,7.5,EN,7.5,lienchieu
2.2,67,4.5,ES,7.5,lienchieu
3.5,81,4.5,_,10,lienchieu
1.9,140,7,N,5.5,lienchieu
2.35,117,6.5,EN,3.5,lienchieu
4.3,148,7.5,E,7.5,lienchieu
2.9,72,4.5,WS,5.5,lienchieu
5,125,5,WS,30,lienchieu
0.99,103,4.2,ES,3.5,lienchieu
2.75,100,---,WN,10,lienchieu
4.3,117,---,_,10,lienchieu
15,200,10,S,33,lienchieu
3.7,100,---,_,6,lienchieu
0.98,90,---,_,7,lienchieu
1.8,100,5,ES,15,lienchieu
4.9,160,5,WN,10,lienchieu
2.1,80,4,_,11,lienchieu
6,120,5,W,33,lienchieu
4.8,105,5,WN,7.5,lienchieu
0.9,100,5,_,25,lienchieu
4.6,148,7.5,E,7.5,lienchieu
2.1,76,5,EN,4,lienchieu
4.2,100,---,_,10,lienchieu
2.55,90,5,WS,5,lienchieu
1.42,95,5,WN,5.5,lienchieu
2.2,72,4,ES,5.5,lienchieu
3.15,120,5,ES,15,lienchieu
2.85,105,---,_,10,lienchieu
4.15,105,5,_,7.5,lienchieu
8.6,235,10,WN,22,lienchieu
7.8,293,9.45,EN,7.5,lienchieu
0.9,120,6,_,25,lienchieu
3.45,100,7.6,ES,5.5,lienchieu
1.95,77,10,ES,5.5,lienchieu
1.2,70,4.4,WN,4,lienchieu
11.6,265,---,_,11,lienchieu
5.9,100,5,WS,33,lienchieu
1.85,109,5.2,N,2.5,lienchieu
2.85,95,5,ES,5.5,lienchieu
1.7,167,7,N,4,lienchieu
6.45,200,---,_,5.5,lienchieu
2.7,100,5,WN,5,lienchieu
2.75,90,5,W,5.5,lienchieu
4.55,80,5,WS,10,lienchieu
3.1,85,5,ES,5.5,lienchieu
6.3,350,7,_,8,lienchieu
2.95,76,4.5,_,10,lienchieu
1.94,74,---,EN,5,lienchieu
11.6,264,10,ES,10,lienchieu
2.65,110,5,WN,7,lienchieu
1.2,100,5,_,25,lienchieu
1.55,71,5,ES,2.5,lienchieu
4,90,4.5,N,10,lienchieu
0.759,360,12,E,33,lienchieu
4.5,100,---,_,7.5,lienchieu
4.15,255,6.2,_,7.5,lienchieu
2.9,75,5,WN,5.5,lienchieu
2.35,155,7.4,ES,5.5,lienchieu
2.55,72,---,WS,5.5,lienchieu
2.8,75,7,WN,5.5,lienchieu
4.3,117,---,_,10,lienchieu
2.4,110,---,_,7.5,lienchieu
1.8,71,5,ES,3,lienchieu
2.8,105,5,EN,10,lienchieu
1.5,70,5,WN,4,lienchieu
3.2,110,5,WS,10,lienchieu
6,142,6,WS,10,lienchieu
2.8,105,---,_,10,lienchieu
2,70,5,E,5,lienchieu
1.55,67,10,ES,2,lienchieu
1.83,91,5,WN,3.5,lienchieu
1.75,100,---,_,7.5,lienchieu
16.8,280,10,_,60,lienchieu
1.8,94,4.7,ES,6,lienchieu
3.45,100,---,_,5.5,lienchieu
3.1,93,---,_,5.5,lienchieu
7.6,200,10,WS,6,lienchieu
3.6,100,7.6,EN,5.5,lienchieu
1.45,60,9,EN,3,lienchieu
3,75,5,WN,5.5,lienchieu
2.2,68,4.5,_,5.5,lienchieu
5.3,150,5,WN,10,lienchieu
1.65,61,---,_,2,lienchieu
1.5,126,4,WN,5,lienchieu
6.5,300,15,WN,7.5,lienchieu
2.6,145,5,WN,30,lienchieu
2.7,88,5,WN,5.5,lienchieu
3.45,102,7.5,WS,5.5,lienchieu
1.85,64,5,ES,3,lienchieu
1.7,107,---,_,2.5,lienchieu
2.5,110,---,_,7.5,lienchieu
5.4,108,4.5,_,15,lienchieu
2.5,110,5,WN,7.5,lienchieu
3.45,101,7.6,ES,5.5,lienchieu
2.8,185,5,_,7.5,lienchieu
2.4,110,---,_,7,lienchieu
3.5,100,---,_,10,lienchieu
2.75,90,---,W,5.5,lienchieu
2.5,105,---,_,7.5,lienchieu
2.35,90,4.5,WN,5.5,lienchieu
11.9,265,10,ES,10,lienchieu
0.78,70,7,ES,2.5,lienchieu
2.8,75,5,WS,5.5,lienchieu
1.2,100,5,_,25,lienchieu
3.1,100,5,WS,7.5,lienchieu
2.35,100,---,_,7.5,lienchieu
5.55,150,5,EN,15,lienchieu
2.65,80,4,_,4.5,lienchieu
3.7,115,5,EN,7.5,lienchieu
5.1,103,4.5,EN,10,lienchieu
1.75,95,5,WS,5.5,lienchieu
5.2,133,5,ES,15,lienchieu
15,250,10,ES,10,lienchieu
3.2,85,---,_,5.5,lienchieu
2.1,95,5,EN,7.5,lienchieu
3.4,98,5,WN,7.5,lienchieu
3.5,112,4.5,_,30,lienchieu
2.6,73,5,WS,7.5,lienchieu
2,93,---,N,5,lienchieu
13,216,9,WS,15,lienchieu
5.5,108,4.5,_,15,lienchieu
3.2,85,5,WS,5.5,lienchieu
1.99,92,5,WS,5.5,lienchieu
2.15,86,5,W,7.5,lienchieu
5.65,108,4.5,_,15,lienchieu
3.7,97,5,WS,7.5,lienchieu
2.8,81,4.5,WS,6,lienchieu
2.43,105,5,WS,7.5,lienchieu
2.1,67,5.75,EN,4.5,lienchieu
2.35,100,5,EN,7.5,lienchieu
1.2,100,5,_,25,lienchieu
2.5,100,5,_,12,lienchieu
6.4,200,---,_,7.5,lienchieu
2.7,88,5,WN,5.5,lienchieu
1.65,110,5,WN,5,lienchieu
4.3,148,7.5,E,7.5,lienchieu
8.5,170,6.45,WN,10,lienchieu
1.2,336,14,_,6,lienchieu
1.89,100,---,_,7.5,lienchieu
3.65,100,5,EN,6,lienchieu
1.85,140,7,N,4,lienchieu
2.1,99,---,_,4,lienchieu
2.5,70,5,WS,5.5,lienchieu
1.25,60,7,W,3.5,lienchieu
1.87,57,4.4,EN,4,lienchieu
1.55,70,---,ES,3,lienchieu
2.75,90,5,WS,5.5,lienchieu
1.38,71,---,_,3,lienchieu
1.7,56,3.95,WN,6,lienchieu
5.1,104,4.5,ES,10,lienchieu
1.75,100,5,WN,5,lienchieu
5.1,150,7.5,EN,5.5,lienchieu
5.3,110,5,S,15,lienchieu
0.5,150,6,_,6,lienchieu
3.1,85,5,ES,5.5,lienchieu
2.5,145,---,_,10,lienchieu
6.2,120,---,_,30,lienchieu
1.55,70,5,ES,5,lienchieu
1.65,62,5,ES,3,lienchieu
14,250,10,EN,46,lienchieu
1.85,64,5.5,ES,3.5,lienchieu
3.45,100,7.6,ES,5.5,lienchieu
7.2,100,---,_,30,lienchieu
7.45,100,5,_,21,lienchieu
5.1,103,5,EN,10,lienchieu
1.8,85,5,ES,5.5,lienchieu
3.45,102,7.6,WS,5.5,lienchieu
3.1,100,5,_,7.5,lienchieu
4.3,100,5,WS,5.5,lienchieu
1.65,117,4,ES,4,lienchieu
2.15,161,---,_,5,lienchieu
3,125,5,WS,5.5,lienchieu
1.5,100,5,ES,4,lienchieu
1.45,70,4.4,S,3.5,lienchieu
6,120,5,WS,33,lienchieu
3.8,125,5,WN,10,lienchieu
15,200,10,WS,30,lienchieu
4.8,160,8,ES,20,lienchieu
2.5,110,---,_,7.5,lienchieu
2.45,110,---,_,7,lienchieu
2.7,90,---,WS,5,lienchieu
2.6,73,5.2,ES,7,lienchieu
2.7,72,4.5,WS,5.5,lienchieu
3,129,4.8,WS,5.5,lienchieu
1.7,70,---,_,3,lienchieu
4.3,117,---,_,10,lienchieu
5.7,100,5,E,7.5,lienchieu
3.1,75,---,_,5.5,lienchieu
2.9,90,5,WS,5,lienchieu
1.8,71,5,ES,3.5,lienchieu
2.62,75,5,EN,5.5,lienchieu
2.8,105,5,EN,10,lienchieu
2.6,110,---,_,75,lienchieu
2.1,100,5,ES,15,lienchieu
4.1,76,5,WS,7,lienchieu
1.2,100,5,_,25,lienchieu
7.4,125,5,ES,10,lienchieu
5.3,110,5,ES,15,lienchieu
1.8,100,5,EN,5.5,lienchieu
3,75,5,EN,5.5,lienchieu
1.8,71,---,_,3,lienchieu
4.3,100,5,WN,7.5,lienchieu
8.6,235,10,_,10,lienchieu
1.8,72,---,_,3,lienchieu
1.55,77,4.1,ES,3,lienchieu
1.55,70,4.5,WN,5,lienchieu
1.42,91,3.5,WN,4,lienchieu
3.9,81,4.5,E,5.5,lienchieu
2.5,110,---,_,7.5,lienchieu
1.8,72,---,_,3.5,lienchieu
3.7,123,6,EN,7.5,lienchieu
5.5,108,4.5,WS,15,lienchieu
1.86,65,---,WN,5,lienchieu
2.15,100,5,WS,7.5,lienchieu
1.2,61,4.5,EN,4,lienchieu
3.9,81,4.5,ES,5.5,lienchieu
4.1,105,5,ES,7.5,lienchieu
11.55,154,7,WN,60,lienchieu
1.6,50,5,WS,3.5,lienchieu
1.8,71,---,_,3.5,lienchieu
